Original Time,Rewritten Time
Carnegie Mellon's now defunct yearbook,no replacement (as this is not an absolute time expression)
Beginning 1997,no replacement (kept as an absolute time reference)
in 1991,nearly four years later
in April 2000,over two decades ago
1947,many decades ago
1951,seventy years ago
2006,nearly two decades ago
1948,just over a decade later
1999,almost a decade later
2000,a year after the new millennium
From 1928,From more than nine decades ago
in 1956,during the latter part of this period
"On June 9, 2012","On June 9, over a decade ago"
"On July 3, 2019",On a summer day in 2019
"on Dec. 28, 2023",half a decade from now
October 1997,two years later
1972,many years ago
1999,over two decades ago
2014,about a decade ago
1988,almost three decades ago
1993,about twenty-five years ago
2002,more than two decades ago
1985,After a decade
1987,two years later
2001,around two decades ago
December 1964,14 years later
"December 10, 1957",the late 1950s
1958–1959,one season during that era
1958 to 1960,the end of the 1950s
1959,years ago
1976,a handful of years ago
1983,a few years after the early 1980s
1963,about a decade before the Space Age truly kicked off
1983 to 2006,For over two decades
2007 to 2008,A few years after that
1967,several decades ago
1972,a few years later
1985,quite some time back
1990,a bit longer after
1995,a handful of years before the turn of the millennium
2004,almost two decades ago
2013,the past decade
"July 20, 2016",(kept as is)
2002,some years before now
"July, 2006",mid-2006
1956,a decade later
1961,a few years after
between 1952 and 1954,not long after that period
from 1974 to 1986,around a decade later
January 1992,nearly three decades ago
January 2000 to December 2003,the start of the new millennium to twenty years ago
1999,a few years before 2000
1950,five decades ago
1974,just shy of fifty years
1978,a year close to the late 1970s
1991,three decades back
1926,The following year
1927,The same year
1984,a few years later
1989,for over a decade
2006,about 17 years ago
2009,a little over a decade ago
1956,four years later
1968,a decade later
1971,thirteen years
1942,two years after its establishment
November 1942,later that same year
November 1942,later that same year
1998,over two decades
2004,nearly two decades ago
August 2009,over a decade ago
1941,many years ago during a tumultuous period
September 1944,roughly nine years ago
1982,several decades ago
August 2012,recently in 2012
2014,a few years back
1967,more than five decades ago
1990,almost three decades ago
1994–95,mid-1990s
2008,fifteen years ago
2000,back at the start of this millennium
2000 and 2001,just over two decades ago
2001,about two decades ago
early 1995,in the mid-1990s
"February 1, 2005",Nearly six years later
July 2010,A few years after that
1896,quite some time ago
1973,nearly five decades back
1971,more than five decades ago
Since 2003,Just over two decades ago
1930,over nine decades ago
1941,During the initial years of World War II
1946,a few years after the end of World War II
1962,the early 1960s
late 2006,2006
2007,a year later
late 2007,around that same time
2008,fifteen years ago
December 2012,A decade ago
January 2012,Initial weeks of the same year earlier
By 1978,By the late '70s
at the age of 67,nearly 14 years ago
2011,About two years later
1953,long ago
1957,a few years later
1966,several years after the first glass-ceramic invention
1971,the early 1970s
1979,near the end of the 1970s
1985,about halfway through the 1980s
1996,the mid-1990s
2018,five years ago
1957,for many years
1964 to 1965,59 years ago
1976,nearly 50 years ago
1983,over four decades ago
1974/75,Nearly half a century ago
1976,around four and a half decades ago
1989-1991,During the late 1980s
1994,about two decades ago
after 1997,shortly after Khatami's election
on 4 November 2002,around twenty-one years ago
1983-1993,some years ago
2011,twelve years ago
In 1968,About 11 years later
December 1964,a few years later
1975,several years later
2000,about two decades later
2000,nearly two decades ago
1979,a couple of years after joining
June 1991,starting over three decades ago
June 1993,until the early months of the '90s
2007,just under two decades ago
1955,the mid-1950s
on 26 February 2011,the following year
October,later that year
from 1952 to 1962,"for ten years, starting a few years after India's independence"
from 1969 to 1982,during the late 20th century
from 1992 to 1995,for a few years in the early '90s
October 2008,a year before the end of that administration
October 2008,Fifteen years ago
2004,A few years ago
2004,During that celebration
1969,two years before
"June 30, 2015",A few years later
October 2018,Earlier in the decade
1997,26 years ago
2004,19 years ago
May 1981,back in 1981
2015,Several years ago
1981,four decades ago
1986,a few years after that
2007,A few years ago
2019,Recent
12 October 2020,Not long ago
2020,Not long ago
1986,A few years later
1928,some years before the Great Depression
November 1942,roughly eight decades ago
1943,the subsequent year
1946,just after the end of World War II
October 2005,nearly two decades ago
1922,just over a century ago
March 1927,late 1920s
1935,eight decades ago
1940,shortly after the outbreak of World War II
1946,the year after the war ended
1942,over eight decades ago
1957,several years after his graduation
1984,almost four decades ago
By 1947,Around four years later
until his retirement in 1988,until his retirement a little over three decades later
"January 7, 1970",the early days of 1970
1990,the following year
2001,Nearly two decades later
In 1991,Some years later
1979,over four decades ago
1989,more than three decades ago
2013,a decade ago
2011,About a dozen years ago
2012,Around eight years after his retirement
2014,two years later
1992,a decade later
1991,just over thirty years ago
In 1989,A couple of years later
In 1992,Three years after that
In 2009,Several years later
1957–58,the latter part of the 1950s
1960,the start of the 1960s
July 1995,several summers later
1990–1991,early 90s
2003-2012,nearly a decade starting in the mid-2000s
August 1995,several weeks after his previous role ended
January 2001,early in the new millennium
1976,after the middle of the 1970s
May 2000,at the dawn of the new millennium
April 2010,as spring was beginning in 2010
1993,thirty years ago
2005,nearly two decades ago
2010,almost a year and a half before my training data ended
2018,5 years ago
2006,Several years later
2007,Following that
1987,a few decades ago
"August 6, 2010",many years ago
In 2000,Around the turn of the millennium
In 2005,Several years afterwards
In 1992,The following year
1992,around three decades ago
2007,a while back
2021,Last year
13 April 1963,A few decades later
1963,Later that year
1916 to 1918,during World War I
1947,a couple of years after World War II
1996,many years ago
1999,a couple of years later
2006,over a decade ago
November 2014,the late fall of 2014
In 1982,"""About seven years later"""
2000-2001,"""approximately two decades ago"""
2000,"""the early part of the 21st century"""
1999,late 1990s
2001,turn of the century
2006,roughly five years later
1979 to 1983,**from 44 years ago to 40 years ago**
1983 to 1987,**until four years later**
2010,a little more than a decade ago
2010,that year
2014,nearly a decade back
1971 until 1982,for over a decade
1982,the year that ARP ceased to exist as a company
In 1988,Many years later
"On February 19, 2013",Recently
1959,nearly two decades after World War II
2000,the dawn of the new millennium
1970–82,over five decades ago
1991,over three decades
1993,the early 90s
1998,Towards the end of the century
1989,over three decades ago
August 2008,about fifteen years ago
1978,a few decades ago
1999,a few years later
1999,decades ago
2002,over two decades ago
2014,almost a decade ago
2014,2014
1998,nearly 25 years ago
1995,several years before the start of the 21st century
August 2010,approximately two years after his recognition in Time magazine
